Data,Codigo_municipio,area_colhida_em_hectares,quantidade_produzida_em_ton,valor_producao_em_mil_reais
2015,3542503,200,1200,640
2015,3542701,200,1200,462
2016,3542701,200,1200,456
2018,3542701,200,1200,696
2019,3542701,200,1200,720
2020,3542701,200,1200,828
2021,3542701,200,1200,1800
2022,3542701,200,1200,1920
2023,3542701,200,1200,1600
2023,3542800,200,840,1062
2014,3542909,200,670,255
2015,3542909,200,1116,446
2013,3543238,200,918,337
2014,3543238,200,570,247
2014,3544806,200,960,430
2018,3544806,200,1500,999
2019,3546207,200,1218,762
2022,3546207,200,915,1251
2022,3547403,200,840,1008
2023,3547403,200,867,826
2014,3548302,200,791,287
2019,3549508,200,1320,779
2019,3549805,200,1200,696
2019,3550803,200,1080,616
2020,3550803,200,840,672
2022,3550803,200,840,1329
2023,3550803,200,840,672
2017,3551306,200,1360,694
2018,3551306,200,1680,907
2013,3551504,200,960,383
2014,3551504,200,960,383
2015,3551504,200,1020,500
2016,3551504,200,1020,533
2017,3551504,200,864,359
2018,3551504,200,864,531
2019,3551504,200,864,476
2020,3551504,200,864,1244
2021,3551504,200,864,1377
2022,3551504,200,864,1350
2023,3551504,200,864,871
2016,3551900,200,1200,844
2020,3551900,200,1440,1067
2013,3552601,200,1080,367
2013,3553203,200,1020,411
2014,3553203,200,600,241
2022,3554102,200,1000,1550
2023,3554102,200,730,1132
2016,3554805,200,960,639
2017,3554805,200,1250,663
2018,3554805,200,1250,813
2019,3554805,200,1250,938
2020,3554805,200,1250,1500
2018,3554904,200,840,420
2020,3554904,200,640,490
2023,3554904,200,840,801
2018,3555208,200,1426,785
2014,3555356,200,700,245
2020,3555356,200,1200,900
2021,3555356,200,1000,1420
2016,3555604,200,1200,777
2017,3555604,200,1600,688
2018,3555604,200,1600,842
2019,3555604,200,1600,896
2019,3555802,200,600,318
2023,3555802,200,907,989
2019,3556008,200,960,524
2020,3556008,200,960,779
2013,3556701,200,720,230
2014,3556909,200,720,266
2015,3556909,200,720,206
2017,3556909,200,720,365
2020,3557105,200,1080,944
2021,3557105,200,1080,1575
2015,3557204,200,900,314
2020,3557303,200,1476,1099
2013,3500105,500,2100,799
2014,3500105,500,1200,504
2015,3500105,500,3000,1380
2017,3500105,500,2400,1054
2018,3500105,500,2100,901
2019,3500105,500,1900,823
2017,3500402,500,1800,864
2013,3500907,500,1750,595
2014,3500907,500,1750,599
2015,3500907,500,1750,758
2021,3500907,500,2813,3516
2023,3500907,500,3600,4680
2013,3501301,500,1830,655
2015,3501806,500,3000,1205
2016,3501806,500,3600,2329
2019,3502309,500,1800,1062
2020,3502309,500,1800,1062
2017,3502408,500,2400,899
2013,3502903,500,3400,1486
2022,3503109,500,2401,3412
2014,3504602,500,1900,665
2017,3504602,500,3100,1394
2019,3504602,500,2400,1344
2020,3504602,500,3000,2250
2021,3504602,500,2400,3000
2016,3505005,500,3378,2071
2014,3505351,500,3750,1526
2020,3506003,500,2040,1663
2022,3506102,500,3300,4570
2023,3506102,500,3220,4357
2015,3506706,500,2400,864
2013,3511003,500,2400,1171
2019,3511003,500,1200,614
2020,3511003,500,2060,1724
2021,3511003,500,1947,1188
2022,3511003,500,1896,2086
2022,3513603,500,1500,2001
2013,3513900,500,4000,1679
2021,3514700,500,2610,3456
2019,3514908,500,3000,2490
2022,3514908,500,3000,3300
2018,3515202,500,2100,1260
2020,3515509,500,3054,2544
2020,3515806,500,3080,1389
2022,3515806,500,2969,4167
2023,3515806,500,2999,4491
2021,3515905,500,3288,4794
2013,3516002,500,1950,742
2019,3516002,500,1820,796
2018,3516200,500,3300,1881
2019,3516200,500,3000,1770
2020,3516200,500,3300,2244
2021,3516200,500,3400,5100
2015,3516606,500,2100,725
2016,3516606,500,2100,840
2018,3516853,500,1500,891
2019,3516853,500,2130,1091
2020,3516853,500,2250,1705
2021,3516853,500,2500,3825
2022,3516853,500,2624,3664
2023,3516853,500,2596,2629
2019,3516903,500,2100,1294
2020,3516903,500,2100,1707
2023,3516903,500,2250,2846
2014,3517208,500,2400,1125
2013,3517802,500,1980,966
2014,3517802,500,1980,812
2013,3518909,500,2234,894
2013,3519105,500,2400,1008
2014,3519105,500,2400,984
2015,3519105,500,2400,984
2016,3519105,500,3725,1676
2020,3519105,500,3750,2908
2023,3519204,500,2175,3371
2014,3519402,500,2160,999
2015,3519402,500,3000,1269
2018,3520442,500,2100,1218
2013,3520707,500,3000,999
2014,3520707,500,1500,495
2015,3520707,500,2400,1200
2016,3520707,500,3000,2500
2017,3520707,500,3000,1299
2018,3520707,500,3000,1800
2013,3521101,500,2100,566
2019,3522000,500,2880,1715
2015,3523602,500,1485,430
2017,3523909,500,3000,1350
2020,3523909,500,3000,4200
2023,3523909,500,2750,3300
2020,3525300,500,2400,1680
2016,3527256,500,2100,1699
2017,3527256,500,2100,878
2021,3527900,500,2160,2795
2022,3528106,500,3240,4806
2013,3528304,500,1800,736
2017,3529609,500,2490,1072
2018,3529609,500,2490,1494
2017,3530003,500,3900,1688
2020,3530003,500,1650,1237
2021,3530003,500,2862,4293
2018,3530300,500,3600,1872
2013,3531001,500,2200,850
2014,3531001,500,3050,1357
2018,3531308,500,2550,1530
2016,3531407,500,2500,1164
2013,3532405,500,2000,672
2014,3532405,500,1800,765
2017,3532603,500,3080,1571
2020,3532603,500,2550,2230
2023,3532603,500,2700,2875
2015,3532801,500,2400,876
2022,3532827,500,1800,2430
2013,3532900,500,2400,1075
2014,3532900,500,2400,892
2015,3532900,500,2400,878
2013,3533700,500,1800,794
2019,3533908,500,1350,652
2022,3534005,500,2415,3623
2021,3534757,500,2400,3600
2015,3534906,500,3000,1288
2020,3534906,500,1830,825
2021,3534906,500,1900,2850
2023,3534906,500,1858,2841
2015,3536000,500,2500,814
2016,3536000,500,1750,1429
2017,3536000,500,3000,1905
2022,3536000,500,1750,2625
2023,3536000,500,2250,3488
2013,3536257,500,4680,1802
2020,3536257,500,3180,2781
2020,3536307,500,3000,2040
2022,3536604,500,3810,5617
2014,3537305,500,1680,854
2021,3537305,500,2430,3854
2022,3537305,500,2430,3322
2023,3538204,500,750,987
2013,3538907,500,2100,798
2014,3538907,500,2100,861
2013,3539905,500,2750,1019
2014,3539905,500,1820,875
2015,3539905,500,2820,1138
2016,3539905,500,2820,1304
2017,3539905,500,2820,1438
2021,3539905,500,2700,3843
2023,3539905,500,2820,3506
2017,3540002,500,2400,540
2023,3540002,500,2700,2376
2023,3540259,500,3000,3270
2013,3540606,500,2000,740
2014,3540606,500,1200,576
2015,3540606,500,2000,900
2016,3540606,500,2000,900
2017,3540606,500,2750,1238
2019,3541505,500,1500,750
2021,3541604,500,1650,2619
2019,3542008,500,3000,2250
2021,3542008,500,1750,2625
2022,3542008,500,1750,2625
2022,3542404,500,1480,2014
2013,3542701,500,3000,1155
2014,3542701,500,2700,1040
2015,3543808,500,1500,675
2016,3543808,500,1500,1375
2018,3543808,500,1500,884
2022,3543808,500,1750,2625
2017,3544202,500,4200,1806
2020,3544806,500,3000,2250
2021,3544806,500,4500,11025
2022,3544806,500,3750,5625
2013,3545506,500,1690,605
2014,3545506,500,1979,710
2015,3545506,500,1852,605
2016,3545506,500,1500,1212
2017,3545506,500,2550,1207
2019,3547908,500,3954,2179
2018,3548005,500,3690,2223
2020,3548005,500,3150,2423
2019,3548104,500,3000,1635
2020,3548104,500,2600,2340
2021,3548104,500,2467,3256
2022,3548104,500,2489,3460
2021,3550605,500,2950,2093
2023,3550605,500,2700,2970
2013,3550803,500,2040,846
2019,3553302,500,2760,1712
2013,3554904,500,2450,1133
2014,3555000,500,1500,750
2021,3555307,500,2100,2525
2014,3555604,500,900,315
2013,3556008,500,3240,1315
2018,3556008,500,3471,2197
2021,3556008,500,2750,3438
2022,3556008,500,2750,4425
2014,3557154,500,2220,1015
2016,3500105,300,1440,598
2016,3500709,300,900,432
2017,3500709,300,900,341
2018,3500709,300,900,476
2020,3500709,300,1800,1396
2023,3501202,300,2070,2258
2016,3501400,300,1800,720
2022,3501400,300,1080,1620
2023,3501509,300,540,459
2015,3502408,300,1260,447
2017,3505005,300,1510,656
2021,3506409,300,540,810
2021,3507407,300,2250,3375
2022,3507407,300,2250,3600
2023,3507407,300,1800,2400
2013,3507803,300,1620,646
2014,3507803,300,1620,646
2016,3508207,300,2100,1330
2017,3508207,300,2100,1035
2018,3508207,300,2100,1044
2023,3508702,300,1480,1376
2015,3509106,300,990,495
2013,3509403,300,900,359
2014,3509403,300,900,359
2017,3509403,300,1260,523
2018,3509502,300,1380,814
2018,3510906,300,1440,658
2019,3510906,300,1440,794
2020,3510906,300,1440,2074
2021,3510906,300,1440,2295
2022,3510906,300,1440,1879
2013,3511201,300,1440,490
2014,3511201,300,1154,418
2015,3511201,300,1154,462
2014,3511300,300,775,271
2018,3511508,300,1530,892
2023,3511508,300,1080,1188
2015,3513108,300,1740,853
2016,3513108,300,1740,909
2017,3513108,300,1590,660
2018,3513108,300,1590,727
2019,3513108,300,1590,876
2020,3513108,300,1590,2290
2021,3513108,300,1590,2534
2022,3513108,300,1590,2074
2023,3513108,300,1590,1603
2021,3514106,300,1350,2066
2022,3514106,300,1350,1789
2023,3514106,300,1620,2106
2013,3514304,300,1200,540
2016,3514403,300,1440,902
2020,3514403,300,1350,1121
2021,3515129,300,1450,2090
2015,3515657,300,1080,373
2016,3515657,300,1080,432
2017,3515657,300,1080,243
2018,3515657,300,1080,443
2019,3515657,300,900,383
2020,3515657,300,1080,702
2014,3515806,300,1260,529
2015,3515806,300,1260,580
2016,3515806,300,1680,660
2020,3515905,300,1260,1102
2014,3516002,300,990,416
2015,3516002,300,1440,605
2016,3516002,300,1440,598
2019,3516507,300,1260,756
2016,3516804,300,1320,955
2016,3517505,300,1200,786
2017,3517802,300,1260,592
2018,3517802,300,1080,648
2019,3517802,300,1080,540
2020,3517802,300,1260,1055
2021,3517802,300,1260,769
2022,3517802,300,1260,1386
2023,3517802,300,1260,1071
2021,3518008,300,756,1259
2022,3518008,300,1080,1658
2023,3518008,300,1080,1529
2013,3518107,300,1440,648
2018,3518909,300,1080,626
2019,3518909,300,1260,776
2020,3518909,300,1225,1001
2014,3519055,300,1080,430
2023,3519055,300,2400,2978
2019,3520707,300,980,594
2020,3520707,300,1800,1499
2021,3520707,300,1260,2016
2022,3520707,300,1260,1928
2023,3520707,300,1260,1784
2013,3520905,300,1446,494
2014,3520905,300,1440,549
2017,3521150,300,1800,1170
2018,3521150,300,1800,1008
2022,3522000,300,1800,2381
2023,3522000,300,1620,2187
2016,3524501,300,1260,852
2022,3526001,300,900,1215
2023,3526001,300,1020,816
2016,3526308,300,1440,959
2017,3526308,300,1450,1088
2015,3526506,300,1800,698
2017,3527603,300,1440,658
2013,3528007,300,1350,513
2015,3528106,300,1410,569
2017,3528106,300,1740,887
2018,3528106,300,1800,936
2021,3528106,300,1800,2610
2023,3528106,300,1980,2369
2018,3528205,300,1800,1080
2019,3528205,300,1000,607
2022,3529500,300,1980,2970
2020,3531407,300,1980,1485
2014,3532504,300,960,499
2020,3532504,300,2160,1793
2022,3532504,300,2700,4050
2019,3532801,300,1260,731
2021,3532801,300,1440,2045
2023,3532827,300,1420,1893
2021,3532868,300,1395,2018
2022,3534104,300,1080,1102
2014,3534500,300,864,305
2018,3534500,300,1050,588
2019,3534500,300,1040,442
2022,3536257,300,1980,2816
2013,3536570,300,1260,365
2014,3536570,300,1260,468
2017,3536570,300,1800,682
2018,3536570,300,1800,1151
2019,3536570,300,1800,1151
2017,3537305,300,1680,693
2013,3539004,300,1080,404
2014,3539004,300,1080,436
2015,3539004,300,1350,532
2017,3539004,300,1800,714
2018,3539004,300,1800,1004
2022,3539608,300,1620,2430
2022,3540101,300,1800,2520
2013,3540259,300,1320,528
2021,3540507,300,1920,2688
2022,3540507,300,1920,2880
2023,3540507,300,1920,2112
2023,3541059,300,2000,2000
2017,3541307,300,1360,680
2018,3541307,300,1360,680
2013,3541406,300,1013,363
2014,3541406,300,1187,416
2015,3541406,300,900,294
2016,3541406,300,900,727
2014,3542008,300,1658,829
2016,3542008,300,1225,1000
2018,3542008,300,1140,672
2013,3543105,300,1800,693
2022,3544301,300,1800,2401
2013,3544806,300,1860,687
2019,3544806,300,1250,718
2018,3545100,300,1650,708
2020,3545209,300,1800,2520
2021,3545209,300,1650,2450
2022,3545209,300,1600,1760
2021,3546207,300,1152,1766
2023,3548104,300,720,734
2014,3549508,300,1400,541
2016,3549805,300,1560,1150
2017,3549805,300,1560,682
2015,3551306,300,1260,509
2020,3551306,300,2400,2099
2023,3551306,300,2700,2874
2013,3552304,300,1260,485
2016,3552304,300,1080,708
2013,3552403,300,2717,1087
2015,3552403,300,2000,800
2016,3552403,300,2000,1080
2017,3552403,300,2200,1428
2018,3552403,300,2200,946
2019,3552403,300,840,420
2022,3552403,300,2067,1687
2023,3552403,300,2074,1970
2019,3553609,300,1780,997
2020,3553609,300,1753,1753
2023,3553609,300,1500,1200
2013,3554706,300,1440,634
2014,3554805,300,1160,383
2023,3555356,300,1800,2340
2016,3555703,300,1980,900
2013,3555802,300,1440,576
2022,3555802,300,1440,1944
2023,3556008,300,2070,2760
2017,3556107,300,1620,697
2013,3556602,300,540,225
2014,3556602,300,450,155
2013,3556909,300,1800,659
2013,3557303,300,1800,870
2021,3500204,50,325,406
2017,3500501,50,348,142
2018,3500501,50,348,213
2019,3500501,50,348,213
2020,3500501,50,348,274
2021,3500501,50,348,546
2022,3500501,50,348,550
2023,3500501,50,348,458
2020,3501707,50,240,182
2021,3501707,50,215,330
2022,3501707,50,235,329
2023,3501707,50,220,223
2022,3502507,50,300,400
2023,3503604,50,190,190
2020,3504305,50,180,146
2013,3505609,50,300,113
2014,3505609,50,300,113
2015,3505609,50,300,122
2016,3505609,50,200,153
2018,3505609,50,250,149
2019,3505609,50,250,131
2020,3505609,50,250,189
2021,3505609,50,250,347
2022,3505609,50,250,356
2023,3505609,50,250,282
2022,3505807,50,150,225
2023,3506201,50,375,363
2013,3507159,50,225,73
2018,3507209,50,176,88
2019,3507209,50,176,87
2013,3507308,50,270,122
2014,3507308,50,270,124
2015,3507308,50,360,148
2016,3507308,50,270,181
2021,3507308,50,270,414
2020,3508603,50,190,173
2016,3509106,50,336,151
2016,3509304,50,339,241
2013,3510153,50,240,82
2014,3510153,50,238,91
2023,3510906,50,225,227
2015,3511904,50,240,92
2016,3513850,50,120,92
2020,3513850,50,150,112
2013,3514007,50,300,110
2014,3514007,50,300,114
2016,3514007,50,160,76
2018,3514205,50,198,118
2018,3514403,50,350,175
2019,3514403,50,250,150
2020,3514502,50,200,150
2021,3514502,50,200,300
2022,3514502,50,207,242
2013,3514601,50,300,113
2014,3514601,50,300,136
2013,3515608,50,300,110
2014,3515608,50,160,60
2015,3515608,50,160,44
2022,3515608,50,200,236
2023,3515608,50,150,198
2018,3515905,50,90,57
2013,3517000,50,240,108
2014,3517000,50,180,76
2018,3518404,50,120,68
2014,3518909,50,180,81
2015,3518909,50,210,88
2013,3519253,50,150,59
2014,3519253,50,150,56
2013,3519303,50,300,135
2014,3519303,50,180,68
2015,3519303,50,180,72
2015,3520608,50,179,58
2016,3520608,50,150,121
2018,3520608,50,180,69
2019,3520608,50,180,69
2021,3520608,50,170,255
2022,3520608,50,172,258
2019,3522653,50,133,84
2020,3522653,50,133,200
2013,3525102,50,330,132
2014,3525102,50,330,132
2013,3525508,50,177,54
2014,3525607,50,75,29
2014,3525805,50,140,48
2020,3527306,50,175,109
2021,3527306,50,175,266
2022,3527306,50,175,233
2013,3527405,50,170,65
2014,3527405,50,120,50
2015,3527405,50,300,138
2016,3527405,50,270,112
2017,3527405,50,240,105
2018,3527405,50,240,101
2014,3527504,50,240,91
2015,3527504,50,240,82
2023,3527504,50,240,336
2023,3527702,50,300,366
2013,3529104,50,180,83
2014,3529104,50,150,75
2015,3529104,50,150,64
2017,3529104,50,225,113
2018,3529104,50,220,110
2019,3529104,50,160,104
2021,3529104,50,90,63
2022,3529104,50,150,180
2023,3529104,50,153,146
2015,3529658,50,180,68
2023,3530904,50,260,278
2013,3531605,50,200,74
2015,3531605,50,240,86
2016,3531605,50,200,128
2022,3531605,50,150,150
2023,3531605,50,225,180
2016,3532058,50,300,200
2018,3532058,50,250,150
2019,3532058,50,292,204
2020,3532058,50,295,224
2021,3532058,50,275,422
2023,3532058,50,295,299
2017,3532843,50,240,120
2018,3532843,50,235,118
2016,3533304,50,210,160
2020,3534104,50,180,153
2021,3535408,50,180,270
2015,3536406,50,135,48
2023,3536570,50,150,194
2014,3537107,50,150,59
2015,3537107,50,150,59
2016,3537107,50,250,167
2017,3537107,50,250,102
2018,3537107,50,250,153
2019,3537107,50,250,153
2015,3539400,50,190,78
2016,3539400,50,190,86
2017,3539400,50,200,85
2020,3539400,50,225,172
