ANO_LETIVO,CODIGO_CIE,CODIGO_INEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MÉDIO
2023,284300,35284300,10210,LESTE 2,LUIS AMBRA DESEMBARGADOR,SAO PAULO,,2,
2023,284324,35284324,10211,LESTE 3,BELIZE,SAO PAULO,3,,1.51
2023,284348,35284348,10601,DIADEMA,DIADEMA,DIADEMA,,3,1.63
2023,284361,35284361,10502,SUZANO,PAULO KOBAYASHI PROFESSOR,SUZANO,,2,
2023,285785,35285785,10402,GUARULHOS SUL,REPUBLICA DA VENEZUELA II,GUARULHOS,,2,
2023,286217,35286217,10603,SANTO ANDRE,FRANCISCA HELENA FURIA II PROFESSORA,SANTO ANDRE,,2,2.07
2023,286710,35286710,10602,MAUA,JOAO RICARDO BORGES DE LIMA,MAUA,,2,1.8
2023,288408,35288408,10401,CAIEIRAS,CHACARA CAMPONESA JARDIM VASSOURAS,FRANCISCO MORATO,,3,0.79
2023,290075,35290075,10703,ITAPEVI,HENRIQUE FERNANDO GOMES ESTUDANTE,BARUERI,,,1.82
2023,290543,35290543,10101,NORTE 1,OSCAR DIAS CORREIA MINISTRO,SAO PAULO,4,,1.9
2023,294603,35294603,10704,OSASCO,JARDIM SANTA MARIA III,OSASCO,,1,1.18
2023,296533,35296533,10601,DIADEMA,VILA SOCIALISTA,DIADEMA,3,,1.75
2023,296740,35296740,10317,SUL 1,MIGUEL ARRAES GOVERNADOR,SAO PAULO,3,,1.4
2023,297380,35297380,20909,MIRANTE DO PARANAPANEMA,ASSENTAMENTO SANTA ZELIA,TEODORO SAMPAIO,,4,1.89
2023,297392,35297392,20413,SAO JOAO DA BOA VISTA,FAZENDA CACHOEIRA,SAO SEBASTIAO DA GRAMA,,2,
2023,297501,35297501,10314,SUL 2,REPUBLICA DO PANAMA,SAO PAULO,,2,
2023,297513,35297513,10402,GUARULHOS SUL,RAFAEL RODRIGUES FILHO PREFEITO,GUARULHOS,4,,1.6
2023,297525,35297525,10402,GUARULHOS SUL,PIMENTAS VII,GUARULHOS,,2,1.11
2023,297537,35297537,10402,GUARULHOS SUL,LOUIS BRAILLE,GUARULHOS,,2,1.25
2023,297653,35297653,20410,PIRACICABA,DIONETTI CALLEGARO MIORI PROFESSORA,PIRACICABA,,2,
2023,349124,35349124,20407,JUNDIAI,BAIRRO FAZENDA GRANDE,JUNDIAI,,4,1.59
2023,350308,35350308,20410,PIRACICABA,EDSON RONTANI,PIRACICABA,,2,1.31
2023,350588,35350588,20507,RIBEIRAO PRETO,JARDIM DIVA TARLA DE CARVALHO,RIBEIRAO PRETO,,2,1.22
2023,350643,35350643,20507,RIBEIRAO PRETO,NEUSA MARIA DO BEM PROFESSORA,SERRANA,,2,
2023,351064,35351064,20205,SAO JOSE DOS CAMPOS,SONIA MARIA ALEXANDRE PEREIRA PROFESSORA,SAO JOSE DOS CAMPOS,,,
2023,351076,35351076,20504,FRANCA,VICENTE MINICUCCI PROFESSOR,FRANCA,,4,
2023,352561,35352561,10703,ITAPEVI,AIR FERREIRA DO NASCIMENTO PROFESSOR,ITAPEVI,,3,
